Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-21,81320.0,83309.0,81317.0,83027.0,11395200,0,0
2020-05-22,83027.0,83027.0,81669.0,82173.0,9281200,0,0
2020-05-25,82198.0,85876.0,82193.0,85663.0,8764400,0,0
2020-05-26,85668.0,87333.0,85396.0,85469.0,12030800,0,0
2020-05-27,85468.0,87946.0,85468.0,87946.0,11212000,0,0
2020-05-28,87946.0,88091.0,86767.0,86949.0,10117000,0,0
2020-05-29,86951.0,87410.0,85384.0,87403.0,16550900,0,0
2020-06-01,87395.0,89019.0,86837.0,88620.0,9849400,0,0
2020-06-02,88622.0,91046.0,88622.0,91046.0,11827300,0,0
2020-06-03,91048.0,93710.0,91048.0,93002.0,15137900,0,0
2020-06-04,92993.0,94132.0,92221.0,93829.0,11488000,0,0
2020-06-05,93839.0,97356.0,93839.0,94637.0,13320300,0,0
2020-06-08,94640.0,97693.0,94635.0,97645.0,11096500,0,0
2020-06-09,97644.0,97644.0,95386.0,96747.0,11278800,0,0
2020-06-10,96747.0,97646.0,94665.0,94686.0,11739600,0,0
2020-06-12,94677.0,94703.0,90811.0,92795.0,12785600,0,0
2020-06-15,92780.0,93112.0,90148.0,92376.0,13317500,0,0
2020-06-16,92387.0,95216.0,92387.0,93531.0,12034200,0,0
2020-06-17,93531.0,96611.0,93531.0,95547.0,11134700,0,0
2020-06-18,95547.0,97110.0,94698.0,96125.0,10008500,0,0
2020-06-19,96138.0,97540.0,95874.0,96572.0,13134400,0,0
2020-06-22,96572.0,96870.0,94869.0,95336.0,8264700,0,0
2020-06-23,95344.0,97486.0,95344.0,95975.0,9752700,0,0
2020-06-24,95974.0,95974.0,93259.0,94377.0,9962700,0,0
2020-06-25,94382.0,96260.0,94152.0,95983.0,8697900,0,0
2020-06-26,95979.0,95979.0,93514.0,93834.0,8439100,0,0
2020-06-29,93837.0,95735.0,93825.0,95735.0,8906800,0,0
2020-06-30,95728.0,96257.0,94806.0,95056.0,10144500,0,0
2020-07-01,95062.0,96852.0,95062.0,96203.0,10163300,0,0
2020-07-02,96206.0,97864.0,96052.0,96235.0,10062900,0,0
2020-07-03,96237.0,96765.0,95803.0,96765.0,5351600,0,0
2020-07-06,96776.0,99257.0,96768.0,98937.0,9489400,0,0
2020-07-07,98937.0,98938.0,97272.0,97761.0,8951400,0,0
2020-07-08,97765.0,99973.0,97765.0,99770.0,9142700,0,0
2020-07-09,99770.0,100191.0,98861.0,99160.0,0,0,0
2020-07-10,99160.0,100101.0,98739.0,100032.0,9147200,0,0
2020-07-13,100027.0,100858.0,98697.0,98697.0,10382300,0,0
2020-07-14,98699.0,100632.0,98289.0,100440.0,10019400,0,0
